iter,loss,Acc,mean image rate
462,3.115,0.297,753.517 img/s).
463,3.397,0.238,745.331 img/s).
464,3.385,0.23,716.930 img/s).
465,3.504,0.223,756.876 img/s).
466,3.256,0.273,686.596 img/s).
467,3.376,0.23,708.440 img/s).
468,3.132,0.297,686.077 img/s).
469,3.303,0.242,718.404 img/s).
470,3.308,0.262,759.319 img/s).
471,3.325,0.238,771.231 img/s).
472,3.385,0.25,736.967 img/s).
473,3.367,0.289,712.524 img/s).
474,3.212,0.254,770.899 img/s).
475,3.323,0.223,743.324 img/s).
476,3.215,0.305,759.587 img/s).
477,3.426,0.246,689.585 img/s).
478,3.349,0.246,744.690 img/s).
479,3.298,0.234,703.226 img/s).
480,3.165,0.262,759.654 img/s).
481,3.411,0.266,698.540 img/s).
482,3.421,0.219,748.954 img/s).
483,3.358,0.281,713.429 img/s).
484,3.274,0.219,708.842 img/s).
485,3.538,0.215,751.324 img/s).
486,3.309,0.25,629.653 img/s).
487,3.287,0.234,737.645 img/s).
488,3.31,0.25,757.041 img/s).
489,3.408,0.25,646.290 img/s).
490,3.353,0.262,586.935 img/s).
491,3.031,0.289,709.119 img/s).
492,3.27,0.242,625.556 img/s).
493,3.344,0.25,753.164 img/s).
494,3.244,0.27,741.008 img/s).
495,3.18,0.301,659.168 img/s).
496,3.228,0.273,742.623 img/s).
497,3.274,0.285,769.020 img/s).
498,3.166,0.27,726.954 img/s).
499,3.18,0.242,723.685 img/s).
500,3.327,0.25,749.603 img/s).
501,3.185,0.285,612.559 img/s).
502,3.357,0.234,694.175 img/s).
503,3.377,0.258,757.902 img/s).
504,3.326,0.242,635.496 img/s).
505,3.282,0.25,629.366 img/s).
506,3.242,0.273,685.308 img/s).
507,3.219,0.312,720.558 img/s).
508,3.267,0.281,729.506 img/s).
509,3.365,0.227,740.293 img/s).
510,3.258,0.293,679.250 img/s).
511,3.44,0.23,705.450 img/s).
512,3.181,0.285,743.059 img/s).
513,3.413,0.219,742.135 img/s).
514,3.203,0.297,726.126 img/s).
515,3.238,0.219,735.427 img/s).
516,3.362,0.242,734.076 img/s).
517,3.22,0.262,751.882 img/s).
518,3.257,0.246,756.496 img/s).
519,3.225,0.301,726.443 img/s).
520,3.273,0.227,716.072 img/s).
521,3.29,0.223,767.949 img/s).
522,3.086,0.27,725.096 img/s).
523,3.261,0.246,777.120 img/s).
524,3.515,0.188,684.041 img/s).
525,3.311,0.254,773.764 img/s).
526,3.247,0.238,819.195 img/s).
527,3.353,0.277,707.170 img/s).
528,3.242,0.262,655.575 img/s).
529,3.388,0.266,828.728 img/s).
530,3.465,0.25,683.432 img/s).
531,3.267,0.266,739.185 img/s).
532,3.415,0.219,742.759 img/s).
533,3.193,0.262,674.445 img/s).
534,3.626,0.207,751.177 img/s).
535,3.516,0.27,832.224 img/s).
536,3.559,0.238,629.497 img/s).
537,3.254,0.262,707.907 img/s).
538,3.456,0.238,691.022 img/s).
539,3.352,0.266,668.730 img/s).
540,3.233,0.273,783.414 img/s).
541,3.464,0.23,737.178 img/s).
542,3.61,0.23,742.942 img/s).
543,3.385,0.219,722.417 img/s).
544,3.399,0.211,740.677 img/s).
545,3.248,0.266,754.406 img/s).
546,3.46,0.234,762.085 img/s).
547,3.233,0.285,747.796 img/s).
548,3.318,0.25,735.690 img/s).
549,2.93,0.293,778.003 img/s).
550,3.361,0.277,717.801 img/s).
551,3.306,0.285,804.132 img/s).
552,3.288,0.234,703.296 img/s).
553,3.474,0.27,768.151 img/s).
554,3.263,0.258,739.379 img/s).
555,3.067,0.25,737.619 img/s).
556,3.228,0.25,782.017 img/s).
557,3.251,0.25,736.377 img/s).
558,3.19,0.32,36.140 img/s).
559,3.247,0.254,199.238 img/s).
560,3.394,0.246,190.776 img/s).
561,3.263,0.215,693.371 img/s).
562,3.409,0.262,777.028 img/s).
563,3.209,0.27,718.132 img/s).
564,3.151,0.277,750.267 img/s).
565,3.338,0.27,748.259 img/s).
566,3.381,0.238,382.445 img/s).
567,3.671,0.238,725.171 img/s).
568,3.644,0.254,734.528 img/s).
569,3.542,0.18,766.377 img/s).
570,3.228,0.281,780.033 img/s).
571,3.545,0.234,753.250 img/s).
572,3.433,0.27,721.989 img/s).
573,3.377,0.234,786.937 img/s).
574,3.488,0.262,713.095 img/s).
575,3.267,0.258,731.769 img/s).
576,3.39,0.25,761.783 img/s).
577,3.328,0.277,763.531 img/s).
578,3.301,0.254,679.793 img/s).
579,3.602,0.227,684.755 img/s).
580,3.24,0.277,655.005 img/s).
581,3.368,0.23,788.362 img/s).
582,3.518,0.234,603.368 img/s).
583,3.321,0.199,752.395 img/s).
584,3.365,0.227,678.001 img/s).
585,3.272,0.305,761.044 img/s).
586,3.559,0.234,710.478 img/s).
587,3.293,0.273,792.356 img/s).
588,3.889,0.184,651.083 img/s).
589,3.266,0.25,732.337 img/s).
590,3.331,0.285,734.757 img/s).
591,3.47,0.215,719.449 img/s).
592,3.539,0.246,765.824 img/s).
593,3.181,0.281,689.306 img/s).
594,3.59,0.184,767.131 img/s).
595,3.355,0.254,665.732 img/s).
596,3.42,0.246,721.540 img/s).
597,3.33,0.219,744.401 img/s).
598,3.135,0.316,739.069 img/s).
599,3.177,0.277,721.852 img/s).
600,2.911,0.336,722.568 img/s).
601,3.306,0.25,741.610 img/s).
602,3.261,0.289,757.799 img/s).
603,3.224,0.266,695.727 img/s).
604,3.527,0.199,735.623 img/s).
605,3.299,0.219,584.549 img/s).
606,3.228,0.262,690.615 img/s).
607,3.522,0.203,724.896 img/s).
608,3.333,0.27,738.941 img/s).
609,3.289,0.258,756.916 img/s).
610,3.586,0.191,723.717 img/s).
611,3.231,0.289,652.348 img/s).
612,3.172,0.273,667.946 img/s).
613,3.16,0.324,707.706 img/s).
614,3.439,0.23,761.597 img/s).
615,3.099,0.277,766.251 img/s).
616,3.41,0.273,704.438 img/s).
617,3.34,0.211,729.544 img/s).
618,3.2,0.262,796.226 img/s).
619,3.344,0.285,576.834 img/s).
620,3.245,0.246,732.135 img/s).
621,3.409,0.262,749.159 img/s).
622,3.168,0.289,769.924 img/s).
623,3.317,0.27,714.765 img/s).
624,3.432,0.234,742.804 img/s).
625,3.415,0.242,771.980 img/s).
626,3.008,0.316,821.219 img/s).
627,3.285,0.234,664.108 img/s).
628,3.201,0.27,754.253 img/s).
629,3.241,0.258,696.816 img/s).
630,3.168,0.266,780.595 img/s).
631,3.177,0.266,728.340 img/s).
632,3.135,0.285,679.623 img/s).
633,3.502,0.211,755.256 img/s).
634,3.26,0.27,661.803 img/s).
635,3.403,0.238,748.536 img/s).
636,3.397,0.27,773.262 img/s).
637,3.337,0.281,728.015 img/s).
638,3.373,0.262,723.857 img/s).
639,3.25,0.234,720.163 img/s).
640,3.285,0.254,770.803 img/s).
641,3.179,0.27,648.019 img/s).
642,3.128,0.297,741.092 img/s).
643,3.232,0.285,688.268 img/s).
644,3.209,0.27,708.189 img/s).
645,3.268,0.262,757.579 img/s).
646,3.427,0.199,790.951 img/s).
647,3.401,0.211,678.989 img/s).
648,3.197,0.285,709.038 img/s).
649,3.459,0.215,760.744 img/s).
650,3.571,0.234,737.088 img/s).
651,3.202,0.273,794.600 img/s).
652,3.452,0.23,725.475 img/s).
653,3.315,0.258,662.393 img/s).
654,3.456,0.219,754.414 img/s).
655,3.427,0.242,675.777 img/s).
656,3.366,0.246,756.504 img/s).
657,3.477,0.242,792.207 img/s).
658,3.532,0.246,692.678 img/s).
659,3.217,0.262,717.681 img/s).
660,3.103,0.297,738.635 img/s).
661,3.415,0.234,746.061 img/s).
662,3.414,0.266,730.144 img/s).
663,3.194,0.258,733.221 img/s).
664,3.324,0.285,798.383 img/s).
665,3.32,0.293,720.844 img/s).
666,3.548,0.234,594.089 img/s).
667,3.199,0.246,741.795 img/s).
668,3.357,0.27,762.470 img/s).
669,3.324,0.258,620.212 img/s).
670,3.264,0.273,742.087 img/s).
671,3.299,0.266,763.139 img/s).
672,3.599,0.207,746.697 img/s).
673,3.389,0.281,631.178 img/s).
674,3.325,0.246,769.925 img/s).
675,3.259,0.293,519.942 img/s).
676,3.252,0.238,711.574 img/s).
677,3.295,0.285,724.588 img/s).
678,3.027,0.301,777.358 img/s).
679,3.667,0.191,718.343 img/s).
680,3.454,0.242,746.643 img/s).
681,3.246,0.238,804.751 img/s).
682,3.483,0.207,726.031 img/s).
683,3.297,0.289,688.878 img/s).
684,3.332,0.258,781.104 img/s).
685,3.144,0.316,604.328 img/s).
686,3.114,0.301,731.272 img/s).
687,3.39,0.223,764.080 img/s).
688,3.148,0.285,789.159 img/s).
689,3.495,0.238,733.878 img/s).
690,3.41,0.258,763.011 img/s).
691,3.341,0.277,721.665 img/s).
692,3.433,0.203,680.321 img/s).
693,3.169,0.309,733.043 img/s).
694,3.377,0.27,746.778 img/s).
695,3.298,0.293,646.394 img/s).
696,3.144,0.297,648.456 img/s).
697,3.491,0.242,710.454 img/s).
698,3.24,0.281,730.137 img/s).
699,3.363,0.258,703.180 img/s).
700,3.509,0.207,737.190 img/s).
701,3.259,0.242,725.555 img/s).
702,3.375,0.223,681.364 img/s).
703,3.129,0.301,770.449 img/s).
704,3.252,0.297,796.839 img/s).
705,3.233,0.281,745.322 img/s).
706,3.338,0.211,770.051 img/s).
707,3.274,0.27,747.784 img/s).
708,3.283,0.258,770.441 img/s).
709,3.123,0.277,738.166 img/s).
710,3.317,0.277,744.269 img/s).
711,3.155,0.238,697.408 img/s).
712,3.535,0.277,702.468 img/s).
713,3.354,0.211,732.239 img/s).
714,3.269,0.289,817.860 img/s).
715,3.658,0.203,756.350 img/s).
716,3.18,0.316,769.845 img/s).
717,3.28,0.281,780.160 img/s).
718,3.419,0.242,709.285 img/s).
719,3.298,0.277,749.240 img/s).
720,3.318,0.23,684.709 img/s).
721,3.142,0.309,666.482 img/s).
722,3.052,0.336,17.955 img/s).
723,3.308,0.27,871.259 img/s).
724,3.321,0.203,1038.836 img/s).
725,3.229,0.277,1047.905 img/s).
726,3.316,0.238,1026.713 img/s).
727,3.334,0.312,1146.628 img/s).
728,3.41,0.238,965.636 img/s).
729,3.482,0.223,911.172 img/s).
